INSERT INTO Booking VALUES ('B0001', '12-JAN-2018', 3, 'PAID', 170.00, 'I0001', 'T0005');
INSERT INTO Booking VALUES ('B0234', '15-JUN-2022', 4, 'PENDING PAYMENT', 110.00, 'I0010', 'T0011');
INSERT INTO Booking VALUES ('B0235', '17-JUN-2022', 4, 'CANCELED', 140.00, 'I0010', 'T0013');
INSERT INTO Booking VALUES ('B0236', '25-JUN-2022', 6, 'PAID', 190.00, 'I0003', 'T0008');
INSERT INTO Booking VALUES ('B0237', '06-JUL-2022', 4, 'PAID', 140.00, 'I0010', 'T0024');
INSERT INTO Booking VALUES ('B0238', '15-JUL-2022', 7, 'PENDING PAYMENT', 180.00, 'I0009', 'T0013');
INSERT INTO Booking VALUES ('B0239', '24-JUL-2022', 2, 'CANCELED', 200.00, 'I0001', 'T0012');
INSERT INTO Booking VALUES ('B0240', '26-JUL-2022', 2, 'REFUNDED', 160.00, 'I0009', 'T0021');
INSERT INTO Booking VALUES ('B0241', '08-AUG-2022', 2, 'PAID', 120.00, 'I0006', 'T0030');
INSERT INTO Booking VALUES ('B0242', '15-AUG-2022', 1, 'CANCELED', 190.00, 'I0002', 'T0023');
INSERT INTO Booking VALUES ('B0243', '25-AUG-2022', 4, 'PAID', 130.00, 'I0010', 'T0026');
INSERT INTO Booking VALUES ('B0244', '03-SEP-2022', 2, 'PAID', 170.00, 'I0010', 'T0011');
INSERT INTO Booking VALUES ('B0245', '14-SEP-2022', 1, 'PAID', 130.00, 'I0004', 'T0014');
INSERT INTO Booking VALUES ('B0246', '25-SEP-2022', 2, 'FAILED', 140.00, 'I0003', 'T0021');
INSERT INTO Booking VALUES ('B0247', '28-SEP-2022', 1, 'REFUNDED', 200.00, 'I0010', 'T0010');
INSERT INTO Booking VALUES ('B0248', '28-SEP-2022', 3, 'CANCELED', 190.00, 'I0009', 'T0008');
INSERT INTO Booking VALUES ('B0249', '10-OCT-2022', 5, 'PAID', 150.00, 'I0005', 'T0007');
INSERT INTO Booking VALUES ('B0250', '24-OCT-2022', 3, 'FAILED', 100.00, 'I0001', 'T0017');
INSERT INTO Booking VALUES ('B0251', '02-NOV-2022', 3, 'PAID', 140.00, 'I0002', 'T0013');
INSERT INTO Booking VALUES ('B0252', '14-NOV-2022', 3, 'FAILED', 130.00, 'I0006', 'T0011');
INSERT INTO Booking VALUES ('B0253', '20-NOV-2022', 7, 'PENDING PAYMENT', 200.00, 'I0003', 'T0019');
INSERT INTO Booking VALUES ('B0254', '02-DEC-2022', 4, 'PAID', 200.00, 'I0001', 'T0027');
INSERT INTO Booking VALUES ('B0255', '06-DEC-2022', 2, 'CANCELED', 190.00, 'I0006', 'T0019');
INSERT INTO Booking VALUES ('B0256', '12-DEC-2022', 6, 'FAILED', 150.00, 'I0009', 'T0019');
INSERT INTO Booking VALUES ('B0257', '19-DEC-2022', 7, 'PENDING PAYMENT', 120.00, 'I0010', 'T0028');
INSERT INTO Booking VALUES ('B0258', '27-DEC-2022', 5, 'FAILED', 130.00, 'I0010', 'T0004');
INSERT INTO Booking VALUES ('B0259', '02-JAN-2023', 4, 'CANCELED', 190.00, 'I0004', 'T0023');
INSERT INTO Booking VALUES ('B0260', '15-JAN-2023', 1, 'PENDING PAYMENT', 110.00, 'I0004', 'T0002');
INSERT INTO Booking VALUES ('B0261', '26-JAN-2023', 2, 'FAILED', 170.00, 'I0007', 'T0015');
INSERT INTO Booking VALUES ('B0262', '02-FEB-2023', 2, 'FAILED', 130.00, 'I0002', 'T0025');
INSERT INTO Booking VALUES ('B0263', '03-FEB-2023', 6, 'CANCELED', 200.00, 'I0006', 'T0002');
INSERT INTO Booking VALUES ('B0264', '03-FEB-2023', 7, 'PAID', 150.00, 'I0002', 'T0027');
INSERT INTO Booking VALUES ('B0265', '10-FEB-2023', 5, 'PENDING PAYMENT', 170.00, 'I0005', 'T0024');
INSERT INTO Booking VALUES ('B0266', '15-FEB-2023', 2, 'PENDING PAYMENT', 150.00, 'I0002', 'T0024');
INSERT INTO Booking VALUES ('B0267', '18-FEB-2023', 3, 'PENDING PAYMENT', 130.00, 'I0008', 'T0022');
INSERT INTO Booking VALUES ('B0268', '23-FEB-2023', 6, 'REFUNDED', 100.00, 'I0010', 'T0001');
INSERT INTO Booking VALUES ('B0269', '09-MAR-2023', 2, 'PAID', 180.00, 'I0003', 'T0008');
INSERT INTO Booking VALUES ('B0270', '16-MAR-2023', 4, 'PAID', 140.00, 'I0002', 'T0011');
INSERT INTO Booking VALUES ('B0271', '16-MAR-2023', 2, 'REFUNDED', 110.00, 'I0009', 'T0022');
INSERT INTO Booking VALUES ('B0272', '01-APR-2023', 1, 'FAILED', 150.00, 'I0010', 'T0017');
INSERT INTO Booking VALUES ('B0273', '07-APR-2023', 3, 'FAILED', 120.00, 'I0009', 'T0006');
INSERT INTO Booking VALUES ('B0274', '10-APR-2023', 4, 'PAID', 140.00, 'I0004', 'T0029');
INSERT INTO Booking VALUES ('B0275', '22-APR-2023', 2, 'PENDING PAYMENT', 170.00, 'I0007', 'T0008');
INSERT INTO Booking VALUES ('B0276', '23-APR-2023', 7, 'FAILED', 180.00, 'I0006', 'T0012');
INSERT INTO Booking VALUES ('B0277', '26-APR-2023', 2, 'PENDING PAYMENT', 150.00, 'I0005', 'T0007');
INSERT INTO Booking VALUES ('B0278', '12-MAY-2023', 7, 'CANCELED', 140.00, 'I0006', 'T0023');
INSERT INTO Booking VALUES ('B0279', '20-MAY-2023', 3, 'PAID', 150.00, 'I0001', 'T0008');
INSERT INTO Booking VALUES ('B0280', '20-MAY-2023', 2, 'FAILED', 200.00, 'I0010', 'T0002');
INSERT INTO Booking VALUES ('B0281', '21-MAY-2023', 2, 'CANCELED', 150.00, 'I0006', 'T0002');
INSERT INTO Booking VALUES ('B0282', '26-MAY-2023', 2, 'CANCELED', 140.00, 'I0008', 'T0012');
INSERT INTO Booking VALUES ('B0283', '11-JUN-2023', 6, 'PENDING PAYMENT', 140.00, 'I0010', 'T0003');
INSERT INTO Booking VALUES ('B0284', '17-JUN-2023', 7, 'FAILED', 160.00, 'I0001', 'T0028');
INSERT INTO Booking VALUES ('B0285', '19-JUN-2023', 4, 'PAID', 200.00, 'I0001', 'T0030');
INSERT INTO Booking VALUES ('B0286', '04-JUL-2023', 2, 'CANCELED', 180.00, 'I0009', 'T0017');
INSERT INTO Booking VALUES ('B0287', '10-JUL-2023', 7, 'FAILED', 100.00, 'I0008', 'T0007');
INSERT INTO Booking VALUES ('B0288', '14-JUL-2023', 6, 'CANCELED', 110.00, 'I0005', 'T0020');
INSERT INTO Booking VALUES ('B0289', '16-JUL-2023', 1, 'PENDING PAYMENT', 150.00, 'I0005', 'T0007');
INSERT INTO Booking VALUES ('B0290', '24-JUL-2023', 5, 'PAID', 180.00, 'I0001', 'T0009');
INSERT INTO Booking VALUES ('B0291', '07-AUG-2023', 1, 'REFUNDED', 100.00, 'I0001', 'T0001');
INSERT INTO Booking VALUES ('B0292', '17-AUG-2023', 2, 'PENDING PAYMENT', 100.00, 'I0001', 'T0019');
INSERT INTO Booking VALUES ('B0293', '19-AUG-2023', 6, 'REFUNDED', 140.00, 'I0008', 'T0027');
INSERT INTO Booking VALUES ('B0294', '28-AUG-2023', 4, 'FAILED', 150.00, 'I0002', 'T0013');
INSERT INTO Booking VALUES ('B0295', '10-SEP-2023', 1, 'PAID', 150.00, 'I0005', 'T0022');
INSERT INTO Booking VALUES ('B0296', '23-SEP-2023', 3, 'PAID', 130.00, 'I0001', 'T0004');
INSERT INTO Booking VALUES ('B0297', '03-OCT-2023', 4, 'CANCELED', 100.00, 'I0010', 'T0006');
INSERT INTO Booking VALUES ('B0298', '16-OCT-2023', 7, 'REFUNDED', 100.00, 'I0002', 'T0008');
INSERT INTO Booking VALUES ('B0299', '22-OCT-2023', 6, 'PAID', 160.00, 'I0006', 'T0018');
INSERT INTO Booking VALUES ('B0300', '03-NOV-2023', 5, 'PENDING PAYMENT', 140.00, 'I0002', 'T0026');
